TASK,category,,
VM tools updates by ESX update,automatable,,
Patch Management ,automatable,,
VM Deployment with command,automatable,,
Performance report,automatable,,
"Report for snapshot, CDP and etc",automatable,,
VM Hardware installation with commands,automatable,,
VM Startup and Shutdown with commands,automatable,,
Device Up/Down,automatable,,
Link/Interface Up Down,automatable,,
CPU Utilization,automatable,,
Physical Memory Utilization,automatable,,
Fan status,automatable,,
Power Supply status,automatable,,
Device Temperature,automatable,,
Link Utilization,automatable,,
Device Uptime,automatable,,
"fetch report of switchport status on one or multiple switches. [example headings: switchname, switchport interface number, interface status, learning mac address on the interface, interface description,..]",automatable,,
fetch list of accesspoint client details with IP address & hostnmaes,automatable,,
Fetch list of APs associated in WLC with High Availability details,automatable,,
Add/Delete users to/from AD groups,automatable,,
Creating new admins in security appliances,automatable,,
Check the VPN tunnel status in firewall,automatable,,
Catalog backups and Confidential Restore,automatable,,
Handling tapes for ejection / insertion,automatable,,
Manage drive cleanings,automatable,,
Monitoring backup alert failures,automatable,,
Handling tapes ejection and insertion at every vault cycle (weekly/monthly),automatable,,
Troubleshooting of Exceeded Disk Thresholds and inconsistency in Replica,automatable,,
Monitor Backup jobs,automatable,,
Configuration changes in Existing Vault profiles (including catalog and tape management for vault),automatable,,
Send Backup Report on daily basis and review them for accuracy on monthly basis.,automatable,,
"Provide system administration services including mailbox administration, add/move/ send of behalf/ mailbox permissions",automatable,,
"Provide public folder administration services, including creation/deletion of folders, folder owner permissions and ownership assignment, and folder replication management.",automatable,,
"Organizational Unit creation, deletion and delegation.",automatable,,
Backing up / restoring Active Directory objects.,automatable,,
"Delegating administration (creating admin accounts and groups, delegating permissions to these accounts and groups).",automatable,,
Day to day Active Directory user administration.,automatable,,
Reviewing all performance related reports (Health Monitoring reports).,automatable,,
"Provide performance reports according to Alkermes requirement and SLAs (e.g. Mobility ticket data and trending report, .)",automatable,,
Add/Delete users to/from AD groups,automatable,,
Local Policy Degrade Control,automatable,,
RU Count for AD & Mailbox,automatable,,
Certificate Expiry Notification,automatable,,
Account Expiry Notification,automatable,,
Nimsoft Agent Deployment,automatable,,
Adding and Removing Devices from Monitoring,automatable,,
Scheduling email notification ,automatable,,
Alert to Ticket Automation,automatable,,
Event  Escalation policies,automatable,,
CDM Probe Configuration,automatable,,
Ntservices Probe Configuration,automatable,,
Process Configuration,automatable,,
Controller Probe Alerts Validation,automatable,,
Addition of Process Utilization for CPU and Memory Alert,automatable,,
Restart of Service upon down alert,automatable,,
SQL Job Failure Notification,automatable,,
Daily Healthcheck of Nimsoft Environement,automatable,,
LUA Script to suppress robot inactive alert upon ping down alert,automatable,,
LUA Script to alert Communication Failure ,automatable,,
Automatic Archive of Nimsoft Configuration ,automatable,,
Daily Healthcheck for all servers,automatable,,
Automatic Ticket Assignation based on priority,automatable,,
Availability Report for Servers,automatable,,
Availability Report of Network Devices,automatable,,
Network Latency Report,automatable,,
Packet Loss ,automatable,,
Nimsoft License Reporting,automatable,,
Logs & Alert monitoring,automatable,,
Monitoring System processes & logs,automatable,,
De-duplication Management,automatable,,
Configuration Monitoring,automatable,,
Auto-support Configuration,automatable,,
Add/modify/delete users,automatable,,
High CPU Utilization,automatable,,
Memory Utilization,automatable,,
Reset locked/unlock user account,automatable,,
Add/Remove/modify groups,automatable,,
Administating File and Directory & Special permissions,automatable,,
Add/Remove/Modify Filesystem,automatable,,
Check print queues,automatable,,
Create/Delete/Modifiy print queues,automatable,,
Start and Stop the LP Print Service,automatable,,
